央视,#genre#
CCTV1-综合,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv1.m3u8
CCTV2-财经,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV3-综艺,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV4-国际,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV5,http://ivi.bupt.edu.cn/hls/cctv5hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6-电影,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv6.m3u8
CCTV7-军事,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV8-电视剧,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8
CCTV9-记录,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV10-科教,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV11-戏曲,http://ivi.bupt.edu.cn/hls/cctv11hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv11.m3u8
CCTV12-社会,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv12.m3u8
CCTV13-新闻,http://ivi.bupt.edu.cn/hls/cctv13hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV14-少儿,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV15-音乐,http://ivi.bupt.edu.cn/hls/cctv15hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CCTV17-农村,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv17.m3u8
CCTV-4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CETV-1,http://39.134.176.253/PLTV/88888888/224/3221226132/index.m3u8#http://ivi.bupt.edu.cn/hls/cetv1.m3u8
CGTN-国际台,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8#http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226314/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv16.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8

卫视,#genre#
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8#
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8#http://ivi.bupt.edu.cn/hls/jstv.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8#http://ivi.bupt.edu.cn/hls/dftv.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8#http://ivi.bupt.edu.cn/hls/ahtv.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8#http://ivi.bupt.edu.cn/hls/sdtv.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8#http://ivi.bupt.edu.cn/hls/tjtv.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dnhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
河南卫视,http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖北卫视,http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8#http://ivi.bupt.edu.cn/hls/nmtv.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8#http://ivi.bupt.edu.cn/hls/xztv.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8#http://ivi.bupt.edu.cn/hls/bttv.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8#http://ivi.bupt.edu.cn/hls/sshd.m3u8
