
2021春節電影,#genre#
你好李焕英,https://bilibili.xiang-kuyun.com/20210215/11581_edc20a8a/index.m3u8
唐人街探案3,https://bilibili.xiang-kuyun.com/20210215/11582_e5549011/index.m3u8
侍神令,https://bilibili.xiang-kuyun.com/20210215/11583_c5bfbf97/1000k/hls/index.m3u8
 

明星電影輪播,#genre#
周星驰,http://kuqq.tk/00/huya.php?id=11342412
林正英,http://kuqq.tk/00/huya.php?id=11342421
成龙,http://kuqq.tk/00/huya.php?id=11342386
李连杰,http://kuqq.tk/00/huya.php?id=11342390
吴京,http://kuqq.tk/00/huya.php?id=11602045
刘德华,http://kuqq.tk/00/huya.php?id=11342424
五福星,http://kuqq.tk/00/huya.php?id=11282233
甄子丹,http://kuqq.tk/00/huya.php?id=11352935
周润发,http://kuqq.tk/00/huya.php?id=11342387
沈腾,http://kuqq.tk/00/huya.php?id=11601968
洪金宝,http://kuqq.tk/00/huya.php?id=11342427
徐峥,http://kuqq.tk/00/huya.php?id=11602043
赌片,http://kuqq.tk/00/huya.php?id=11342399
黑帮,http://kuqq.tk/00/huya.php?id=11336719

網絡視頻,#genre#
阿斗归来了,http://diyp.top/huya.php?id=13303478
扁豆看电影,http://diyp.top/huya.php?id=16028551
了不起的乌贼君,http://diyp.top/huya.php?id=16604522
鱼丸电影,http://diyp.top/huya.php?id=16615910
大象放映室,http://diyp.top/huya.php?id=21277391
科幻梦工场,http://diyp.top/huya.php?id=15152155
亮哥讲电影,http://diyp.top/huya.php?id=16144175
越哥说电影,http://diyp.top/huya.php?id=15894162
小冉看电影,http://diyp.top/huya.php?id=17341907
嫦娥撩电影,http://diyp.top/huya.php?id=18201106
阿翔说电影,http://diyp.top/huya.php?id=16868935
疯狂解说家,http://diyp.top/huya.php?id=18366196
虎妞说电影,http://diyp.top/huya.php?id=20343144
顾久撩电影,http://diyp.top/huya.php?id=16422212
涵哥评电影,http://diyp.top/huya.php?id=16865726
俗哥看电影,http://diyp.top/huya.php?id=15452736
老皮讲电影,http://diyp.top/huya.php?id=16968572
阿钙扒瞎,http://diyp.top/huya.php?id=15978172
阿良说剧,http://diyp.top/huya.php?id=20488841
默爷侃电影,http://diyp.top/huya.php?id=17204307
冷君说电影,http://diyp.top/huya.php?id=16739452
老炮说电影,http://diyp.top/huya.php?id=15454716
刘老师说电影,http://diyp.top/huya.php?id=20289754
来呀官人,http://diyp.top/huya.php?id=15763558
恐怖地带,http://diyp.top/huya.php?id=16741179

记录片,#genre#
求索动物,http://117.148.187.83/PLTV/88888888/224/3221226695/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226695/index.m3u8
求索纪录,http://112.17.40.154/PLTV/88888888/224/3221226610/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226610/index.m3u8
求索科学,http://112.17.40.200/PLTV/88888888/224/3221226608/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226608/index.m3u8
求索生活,http://112.17.40.36/PLTV/88888888/224/3221226606/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226606/index.m3u8
I-Hot爱军武,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230083/01.m3u8
I-Hot爱解密,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230080/01.m3u8
I-Hot爱历史,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230100/01.m3u8
I-Hot爱美食,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230115/01.m3u8
I-Hot爱探索,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230112/index.m3u8
I-Hot爱科学,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230106/index.m3u8
I-Hot爱旅行,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230052/index.m3u8
I-Hot爱猎奇,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230097/index.m3u8
I-Hot爱世界,http://117.148.187.83/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230046/01.m3u8
纪录,http://112.17.40.147/PLTV/88888888/224/3221226360/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226360/index.m3u8
大侦探,http://117.148.187.83/PLTV/88888888/224/3221226179/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226179/index.m3u8
